545,347,722,369
545,443,722,466
545,395,722,418
545,299,722,321
545,467,722,490
545,539,722,563
545,515,722,538
545,492,722,514
545,419,722,442
545,251,722,272
545,564,722,587
545,323,722,342
545,274,722,294
545,225,722,246
545,371,722,392
529,175,738,197
16,338,481,380
545,202,722,221
529,150,738,170
529,126,722,148
0,17,433,47
112,103,192,124
160,60,626,89
593,101,690,122
288,539,481,564
288,161,481,184
288,455,481,480
337,102,449,123
288,258,481,282
